Code1 	 Code2 	 Name 	 #Developers 	 #Commits 	 #Languages
DJ	DJI	djibouti	9	637	Go:1,Dart:10,CSS:5,:2,Python:3,JavaScript:49,Objective-C:4,Ruby:2,C:5,Shell:2,HTML:30,TypeScript:4,Java:6,C#:1
DK	DNK	denmark	12396	1413778	:1201,Vim script:691,Haxe:46,MQL4:4,Stan:6,Crystal:26,COBOL:4,DIGITAL Command Language:17,GDScript:29,HLSL:3,Scala:576,Go:2634,KiCad Layout:38,Hack:21,Clojure:519,PLpgSQL:46,Elm:218,nesC:4,Csound Score:2,CartoCSS:3,RPC:1,Thrift:2,AutoHotkey:15,GDB:4,Ceylon:2,Lua:504,Hy:4,Liquid:14,Fortran:95,VCL:2,Eagle:32,Squirrel:2,Graphviz (DOT):2,Coq:55,Java:10914,Dart:491,Forth:4,PowerShell:966,Game Maker Language:24,OpenEdge ABL:7,Swift:1480,AutoIt:18,G-code:6,Brainfuck:4,Kotlin:479,Mask:2,IDL:6,XQuery:2,Objective-C:1248,Xtend:17,F*:2,Scheme:41,Scilab:6,Standard ML:88,Rebol:6,Gosu:6,GCC Machine Description:15,UnrealScript:2,Idris:16,Pony:2,Racket:42,Assembly:201,Ruby:4461,R:1770,VHDL:102,ActionScript:59,Gherkin:2,RobotFramework:1,PHP:7360,Pure Data:8,Apex:7,ANTLR:5,Julia:242,Prolog:30,SystemVerilog:2,M:8,HCL:110,Objective-C++:18,Objective-J:2,ATS:2,Emacs Lisp:535,Haskell:667,Groff:14,Visual Basic:64,C:3823,OpenSCAD:30,sed:2,TSQL:37,Max:22,Dockerfile:510,GAP:2,PLSQL:35,TypeScript:4145,Logos:14,Arduino:282,ZenScript:8,SuperCollider:6,PostScript:35,Puppet:101,Brightscript:4,QMake:3,Common Workflow Language:2,OCaml:347,NSIS:6,Zimpl:2,Common Lisp:62,Mercury:4,mcfunction:1,Gnuplot:4,C++:5054,SQF:17,NetLogo:4,E:2,CMake:177,AppleScript:13,XSLT:86,FreeMarker:4,Terra:2,Erlang:204,QML:12,Tcl:33,Groovy:328,Nim:12,Nextflow:5,Smarty:107,TeX:1088,AngelScript:4,JavaScript:24931,D:114,LilyPond:3,Nix:58,Zig:24,Processing:154,XML:4,BlitzBasic:5,Gettext Catalog:1,GLSL:30,F#:420,Nginx:26,SMT:2,Smalltalk:7,SourcePawn:31,Yacc:6,Cirru:2,C#:11876,PowerBuilder:2,SaltStack:33,Agda:15,Bro:2,Perl 6:14,ShaderLab:44,Jupyter Notebook:1882,Stata:34,ApacheConf:37,Ada:48,Jolie:4,Vala:25,Cuda:20,M4:7,Makefile:433,Solidity:4,Isabelle:1,Web Ontology Language:2,q:2,LLVM:6,Elixir:441,Rich Text Format:13,Roff:22,Shell:4015,YASnippet:7,Lex:6,Vue:617,Dhall:1,Perl:535,MATLAB:384,CSS:4565,GAMS:7,Mathematica:20,SAS:5,Kit:2,PureScript:35,WebAssembly:6,Verilog:42,API Blueprint:12,Arc:2,SQLPL:20,Lasso:4,AGS Script:5,HTML:7614,DTrace:2,ASP:84,Awk:4,Rust:950,RAML:3,CoffeeScript:407,Pascal:50,Python:12307,AMPL:3,DM:10,Batchfile:119,APL:2,BitBake:28
DM	DMA	dominica	17	1117	:2,Python:26,JavaScript:34,Objective-C:2,CoffeeScript:2,Jupyter Notebook:1,C:2,Swift:2,Shell:2,C#:2,Java:30,HTML:6,PHP:6
DO	DOM	dominican republic	1414	112459	:91,Elixir:4,Vim script:31,V:2,ShaderLab:6,Objective-C:84,F#:6,Jupyter Notebook:76,Scheme:2,Objective-C++:2,Stata:1,Crystal:2,C#:1737,Haskell:21,QML:2,Vala:2,Elm:10,Scala:63,C++:309,Go:153,Makefile:15,D:2,Python:1468,Pascal:15,Racket:2,Clojure:53,Rich Text Format:3,CMake:4,Ruby:499,R:49,Shell:246,XSLT:8,Java:1760,FreeMarker:18,ActionScript:8,PLpgSQL:2,Erlang:6,GCC Machine Description:2,Tcl:2,Common Lisp:2,Groovy:26,Perl:20,Apex:14,CSS:867,TeX:16,Prolog:10,JavaScript:5118,HCL:2,Lua:25,SAS:4,C:186,Emacs Lisp:19,API Blueprint:2,OCaml:8,Processing:3,Standard ML:6,XML:2,VHDL:2,MATLAB:7,Visual Basic:63,SQL:2,HTML:1245,Assembly:4,Dart:120,PowerShell:36,OpenSCAD:2,TSQL:8,ASP:6,Vue:129,PHP:989,CoffeeScript:48,Dockerfile:47,CLIPS:1,Swift:155,Fortran:4,PLSQL:1,Rust:7,TypeScript:725,Logos:2,Arduino:6,Kotlin:146,PostScript:2,Batchfile:6,MAXScript:2,ApacheConf:5
DZ	DZA	algeria	1619	145439	:160,YARA:2,Clojure:4,Vim script:39,Haxe:2,NSIS:4,Ring:2,Bison:2,Handlebars:1,Gnuplot:2,TLA:2,GDScript:4,Elm:2,Scala:14,C++:546,Go:188,R:53,D:1,Hack:19,QMake:2,CMake:18,XSLT:8,Groff:1,FreeMarker:2,PLpgSQL:15,Erlang:1,QML:14,Nginx:4,Groovy:22,Pascal:95,Nim:2,TeX:63,JavaScript:3624,Lua:16,Mathematica:4,Fortran:11,Processing:42,DIGITAL Command Language:5,Visual Basic:8,Coq:2,Java:2238,GLSL:4,Dart:371,PowerShell:13,AutoHotkey:5,Tcl:2,Swift:26,ApacheConf:2,PHP:1472,ASP:2,XQuery:2,ShaderLab:2,Objective-C:67,Smarty:2,Jupyter Notebook:348,Scheme:4,C#:517,M4:2,Makefile:54,Python:2076,LilyPond:2,Racket:4,Elixir:4,Ruby:268,Roff:7,Shell:370,ActionScript:8,Eagle:1,Vue:122,Perl:32,MATLAB:54,CSS:992,Julia:2,VHDL:11,Arduino:22,PureScript:1,C:568,Verilog:2,API Blueprint:2,OCaml:4,Lasso:2,Haskell:4,Yacc:1,HTML:1419,Assembly:37,Red:2,Kotlin:305,TSQL:16,Emacs Lisp:14,Rust:24,CoffeeScript:26,Dockerfile:26,Web Ontology Language:5,PLSQL:8,TypeScript:360,SQL:2,Batchfile:17,BitBake:2
EA	CMEA	ceuta & melilla	0	0	
EC	ECU	ecuador	4207	351341	:368,PigLatin:2,YARA:2,Vim script:156,SQLPL:18,NSIS:6,Common Lisp:8,MQL4:4,Crystal:16,COBOL:4,Mako:4,D:3,GDScript:4,Scala:144,C++:1242,Go:333,R:413,OpenSCAD:1,Max:1,Hack:6,NetLogo:13,Clojure:71,KiCad Layout:1,CMake:19,Smali:10,AppleScript:6,PLpgSQL:20,Groff:2,Elm:14,ApacheConf:15,XSLT:15,Erlang:10,QML:8,Nginx:4,Groovy:37,PureBasic:2,Dockerfile:139,TeX:165,xBase:4,F#:18,JavaScript:9432,Lua:82,Mathematica:8,Nix:13,Liquid:4,Fortran:10,Limbo:2,Haxe:3,Processing:40,XML:4,Visual Basic:47,Gettext Catalog:2,Java:6499,GLSL:4,Dart:234,NCL:2,PowerShell:83,Game Maker Language:2,Tcl:6,Smalltalk:2,OpenEdge ABL:1,Swift:401,SourcePawn:12,Yacc:6,Brainfuck:2,PHP:3517,ASP:34,PowerBuilder:4,LabVIEW:1,SaltStack:4,IDL:2,Nim:2,Perl 6:2,ShaderLab:6,Objective-C:294,Smarty:21,Jupyter Notebook:712,Scheme:3,Inno Setup:1,Standard ML:2,C#:1306,GAMS:2,Vala:16,Isabelle:2,Cuda:2,Makefile:125,MoonScript:2,Python:4098,Racket:2,Elixir:41,Rich Text Format:2,Ruby:913,Roff:6,Shell:1000,Lex:6,ActionScript:2,Eagle:10,Vue:273,RobotFramework:3,Perl:87,MATLAB:134,CSS:2106,ANTLR:4,Julia:2,Prolog:22,VHDL:28,HCL:38,Objective-C++:2,Arduino:58,Objective-J:2,C:933,Emacs Lisp:53,CLIPS:8,PureScript:28,OCaml:28,MAXScript:2,AGS Script:2,Haskell:266,HTML:4085,Assembly:89,Kotlin:329,Rebol:3,Uno:4,TSQL:26,Awk:2,Rust:54,DIGITAL Command Language:8,CoffeeScript:77,Pascal:9,Batchfile:18,Web Ontology Language:7,API Blueprint:2,PLSQL:29,Slice:2,TypeScript:2108,Idris:2,Verilog:6,POV-Ray SDL:1,PostScript:6,Puppet:12,Brightscript:18
EE	EST	estonia	3020	359929	:249,YARA:1,Clojure:72,Vim script:106,Haxe:8,NSIS:5,BitBake:2,Rich Text Format:3,Common Lisp:4,Processing:7,SAS:2,Stan:2,Crystal:3,GDScript:12,Scala:187,C++:1047,Go:845,R:235,KiCad Layout:8,Hack:2,QMake:3,Grammatical Framework:4,CMake:42,XQuery:4,PLpgSQL:15,Groff:6,Elm:30,Ren&#39;Py:2,XSLT:8,Erlang:26,QML:42,Nginx:15,CartoCSS:2,Groovy:87,Dockerfile:126,TeX:49,xBase:2,F#:65,Ceylon:10,JavaScript:8135,D:8,Mathematica:7,Nix:7,Fortran:4,Gherkin:1,XML:2,wdl:2,nesC:6,Java:4239,GLSL:6,Dart:230,PowerShell:72,AutoHotkey:17,Tcl:2,Smalltalk:3,OpenEdge ABL:10,Swift:545,AutoIt:2,SourcePawn:6,ApacheConf:4,PHP:2579,Mask:2,SuperCollider:8,LabVIEW:2,SaltStack:2,IDL:1,Perl 6:56,ShaderLab:14,Objective-C:297,Smarty:23,Jupyter Notebook:379,Scheme:10,Inno Setup:2,Stata:2,Verilog:2,C#:1540,Vala:4,SQLPL:6,Pawn:24,M4:2,Makefile:99,Solidity:4,Isabelle:2,MoonScript:2,Python:3342,Racket:4,Elixir:349,LiveScript:2,Ruby:1413,Roff:22,Shell:1052,Nemerle:4,ActionScript:16,Eagle:26,GCC Machine Description:2,Vue:235,RobotFramework:1,Perl:77,MATLAB:31,CSS:1101,ANTLR:2,Julia:2,Prolog:29,VHDL:38,HCL:50,Objective-C++:2,PureScript:4,WebAssembly:4,C:729,Emacs Lisp:59,API Blueprint:1,OCaml:17,Haskell:109,Csound Document:2,Protocol Buffer:1,HTML:1927,Assembly:20,Component Pascal:1,Kotlin:294,OpenSCAD:16,TSQL:7,ASP:11,Rust:190,CoffeeScript:131,Pascal:29,Puppet:24,Lua:130,PLSQL:4,TypeScript:869,Arduino:67,AMPL:4,PostScript:4,Batchfile:14,Brightscript:2,LLVM:2
EG	EGY	egypt	10065	891542	:725,ABAP:2,QMake:2,Vim script:152,LabVIEW:8,Rebol:4,Ring:30,Common Lisp:18,SAS:2,SQF:1,Crystal:2,COBOL:4,Gnuplot:2,SRecode Template:1,GDScript:2,Elm:3,Scala:305,C++:4858,Go:1346,R:673,Protocol Buffer:2,OpenSCAD:12,Max:2,Hack:24,Clojure:80,KiCad Layout:4,Bluespec:2,CMake:98,Smali:10,AppleScript:2,PLpgSQL:41,Groff:4,D:5,OCaml:4,XSLT:19,Erlang:19,QML:8,Tcl:8,CartoCSS:2,Groovy:85,PureBasic:5,Nim:4,TeX:149,Haxe:2,JavaScript:22593,Lua:75,Mathematica:35,Nix:2,Liquid:4,Fortran:8,VCL:8,Processing:24,DIGITAL Command Language:19,M:2,AngelScript:2,Visual Basic:117,Verilog:171,Java:19020,Markdown:2,GLSL:2,Dart:1108,PowerShell:199,Boo:2,ColdFusion:4,ZenScript:4,Nginx:13,SaltStack:20,Stata:4,Smalltalk:2,OpenEdge ABL:4,Io:4,Swift:3638,nesC:2,Jasmin:4,AutoIt:8,SourcePawn:2,Yacc:8,PHP:8088,Mask:2,XML:6,ApacheConf:33,Scilab:5,IDL:1,Perl 6:33,ShaderLab:24,Objective-C:813,Smarty:53,Jupyter Notebook:3111,Scheme:6,Inno Setup:1,Standard ML:2,C#:4335,Gosu:4,Pascal:6,Gherkin:10,Vala:8,Gettext Catalog:2,Pawn:10,Cuda:25,AutoHotkey:8,Makefile:285,Solidity:2,Idris:2,Python:11108,Racket:8,Elixir:53,Rich Text Format:8,Ada:8,Ruby:2974,Roff:28,Shell:1645,Lex:2,ActionScript:11,Eagle:24,GCC Machine Description:3,Vue:524,RobotFramework:6,Perl:123,Apex:3,CSS:5169,ANTLR:4,Julia:58,Prolog:75,SystemVerilog:28,VHDL:105,HCL:86,Objective-C++:6,PureScript:2,WebAssembly:10,C:2942,Emacs Lisp:61,API Blueprint:4,Modelica:6,SQLPL:9,MAXScript:1,AGS Script:4,Haskell:76,MATLAB:499,F#:4,HTML:9521,LookML:4,Assembly:202,FreeMarker:9,Kotlin:1383,Game Maker Language:2,TSQL:46,ChucK:2,ASP:96,Awk:2,Rust:222,RAML:2,CoffeeScript:158,Dockerfile:214,Puppet:41,Web Ontology Language:10,PLSQL:12,TypeScript:3060,Logos:2,Arduino:101,CLIPS:6,SuperCollider:2,PostScript:9,Batchfile:38,BitBake:2
EH	ESH	western sahara	30	1333	:5,Dart:1,CSS:6,Python:6,JavaScript:73,Objective-C:9,Smarty:2,C#:14,CMake:1,Ruby:3,C:5,Swift:34,Shell:3,PowerShell:2,HTML:39,TypeScript:8,Jupyter Notebook:4,Java:28,PHP:33
ER	ERI	eritrea	9	264	:3,Shell:2,Java:26,JavaScript:1,HTML:2,PHP:15
ES	ESP	spain	25640	3293679	:1931,Vim script:1152,Haxe:130,LiveScript:4,MQL4:5,Stan:4,Crystal:67,COBOL:9,DIGITAL Command Language:39,GDScript:133,Oxygene:1,BlitzBasic:1,Scala:2268,LabVIEW:5,Go:6182,OpenSCAD:129,KiCad Layout:82,Logos:9,QMake:15,PLpgSQL:101,Elm:170,nesC:2,Nginx:51,CartoCSS:4,ObjectScript:2,PureBasic:11,Graphviz (DOT):2,XS:4,AutoHotkey:44,xBase:55,Brainfuck:2,Ceylon:34,Lua:914,P4:2,Liquid:26,Fortran:163,VCL:21,Eagle:132,Visual Basic:466,SQL:1,Java:35192,Dart:903,Forth:36,PowerShell:668,Eiffel:4,OpenEdge ABL:14,Swift:4412,AutoIt:48,G-code:2,Kotlin:2630,Mask:2,RMarkdown:4,IDL:18,XQuery:3,Objective-C:2890,Smarty:234,Scheme:74,Inno Setup:4,Standard ML:12,Xojo:30,Agda:2,Pawn:8,GCC Machine Description:12,UnrealScript:2,Idris:23,Python:31614,Racket:27,Ruby:10060,R:3571,XC:2,Nemerle:2,Hack:11,VHDL:195,ActionScript:125,Gherkin:27,RobotFramework:3,PHP:16893,Pure Data:14,Apex:36,ANTLR:7,Julia:234,Prolog:132,SystemVerilog:11,M:14,HCL:305,Objective-C++:13,Genie:4,C:8980,Emacs Lisp:477,Frege:2,Modelica:4,MAXScript:21,Haskell:458,Protocol Buffer:11,Groff:21,LookML:2,Assembly:478,Red:3,Game Maker Language:18,TSQL:89,ChucK:18,Max:23,Dockerfile:1209,Factor:2,GAP:38,PLSQL:118,TypeScript:9374,ApacheConf:108,Arduino:626,SuperCollider:8,PostScript:60,CLIPS:51,Papyrus:10,ABAP:32,YARA:12,Clojure:620,Common Workflow Language:2,OCaml:142,NSIS:23,Rebol:2,Ring:4,Common Lisp:94,ColdFusion:20,SaltStack:28,Mercury:8,V:3,Gnuplot:5,C++:12962,SQF:55,NetLogo:12,TLA:8,Grammatical Framework:1,CMake:388,Smali:23,AppleScript:16,XSLT:162,FreeMarker:46,Ren&#39;Py:7,Coq:24,Erlang:317,QML:103,Tcl:45,Terra:1,Groovy:629,EmberScript:4,Nim:44,Nextflow:56,TeX:1800,JavaScript:60227,D:48,Mathematica:59,ZIL:6,Nix:24,Lean:2,Processing:293,XML:24,HLSL:9,Gettext Catalog:4,GLSL:72,F#:129,SMT:2,Smalltalk:38,Io:8,SourcePawn:25,Yacc:28,REALbasic:2,C#:10013,PowerBuilder:1,Rust:982,Gosu:3,Bro:2,Perl 6:100,ShaderLab:76,Jupyter Notebook:5746,eC:2,Stata:14,ASP:139,Cuda:71,LOLCODE:1,Ada:84,Vala:105,Jsonnet:19,M4:41,Meson:4,Makefile:1093,Solidity:20,Isabelle:8,MoonScript:8,Chapel:2,Elixir:916,Rich Text Format:23,Roff:95,Shell:10004,YASnippet:2,UrWeb:2,Lex:33,Vue:1330,Dhall:2,Perl:898,MATLAB:765,CSS:10371,GAMS:2,mcfunction:2,Diff:2,LilyPond:13,SAS:14,PureScript:22,WebAssembly:7,Verilog:213,API Blueprint:15,SQLPL:40,Lasso:4,AGS Script:10,HTML:20167,Component Pascal:2,Uno:2,Awk:12,Scilab:20,RAML:22,CoffeeScript:672,Pascal:261,Puppet:189,Web Ontology Language:28,AspectJ:2,Slice:31,POV-Ray SDL:4,AMPL:33,DM:7,Batchfile:186,Pep8:2,BitBake:21
ET	ETH	ethiopia	626	38444	:75,Clojure:4,Vim script:12,Haxe:2,Perl 6:7,Objective-C:18,Jupyter Notebook:183,Scheme:14,Objective-C++:2,Stata:10,C#:157,Haskell:2,IDL:1,Perl:24,Cuda:1,C++:254,Go:90,AutoHotkey:2,Makefile:9,Lex:6,Python:867,Hack:6,Scala:4,Elixir:12,CMake:1,Ruby:88,R:69,Shell:104,XSLT:4,Java:749,D:2,Eagle:1,M4:1,Tcl:4,PHP:411,MATLAB:26,CSS:247,TeX:90,Prolog:4,JavaScript:1333,HCL:4,Elm:2,Mathematica:5,Nix:2,PLpgSQL:3,C:167,Arduino:2,API Blueprint:2,Processing:1,XML:2,Visual Basic:6,HTML:507,Assembly:4,Dart:71,PowerShell:5,TSQL:2,Emacs Lisp:8,Vue:96,Rust:1,CoffeeScript:10,Dockerfile:12,CLIPS:3,Swift:12,Lua:6,PLSQL:2,TypeScript:170,Verilog:2,Kotlin:71,PostScript:7,Batchfile:3,Smali:2,Component Pascal:1
FI	FIN	finland	12368	1907225	:947,Vim script:652,Haxe:60,Arduino:299,LiveScript:44,Handlebars:2,Stan:4,Crystal:29,COBOL:11,Mako:1,Slash:2,GDScript:50,HLSL:2,Scala:1117,Go:2814,KiCad Layout:44,Logos:5,QMake:5,PLpgSQL:40,Elm:196,Nemerle:2,nesC:1,Nginx:43,CartoCSS:4,RPC:4,AutoHotkey:44,Brainfuck:12,Ceylon:14,NewLisp:2,Lua:719,Hy:2,Liquid:4,Fortran:60,VCL:3,Eagle:39,Squirrel:2,Visual Basic:71,Java:12425,Dart:303,Forth:6,PowerShell:291,Game Maker Language:7,OpenEdge ABL:4,Swift:1078,AutoIt:7,G-code:2,Isabelle:2,Mask:2,XML:3,IDL:6,XQuery:4,Objective-C:881,Smarty:72,Scheme:125,Standard ML:6,Xojo:2,Agda:2,wisp:2,GCC Machine Description:9,UnrealScript:6,BlitzMax:4,Shen:18,Idris:4,Python:16557,Racket:44,Ruby:3642,R:1133,ZAP:2,VHDL:64,ActionScript:59,Gherkin:11,RobotFramework:56,PHP:5163,Pure Data:4,Apex:5,ANTLR:2,Julia:94,Prolog:32,SystemVerilog:6,M:3,HCL:171,Objective-C++:12,C:5535,Emacs Lisp:490,Haskell:820,Protocol Buffer:11,Groff:15,Assembly:232,AngelScript:4,Kotlin:647,Rebol:3,TSQL:23,Max:4,Dockerfile:501,Factor:6,GAP:8,PLSQL:20,TypeScript:4270,Hack:8,SQL:2,SuperCollider:4,PostScript:13,CLIPS:2,Clojure:2708,Common Workflow Language:2,OCaml:131,NSIS:10,Common Lisp:159,Gnuplot:8,C++:6766,SQF:38,Bluespec:1,CMake:58,AppleScript:7,XSLT:75,FreeMarker:5,Coq:4,Erlang:201,QML:202,Tcl:44,Groovy:207,Nim:62,Nextflow:4,TeX:625,JavaScript:35404,D:64,Mathematica:26,Nix:141,Zig:7,Processing:138,OpenSCAD:41,BlitzBasic:7,Gettext Catalog:2,GLSL:29,F#:76,Smalltalk:2,Io:2,Rust:1320,SourcePawn:102,Yacc:9,REALbasic:2,C#:5180,SaltStack:28,Bro:2,Perl 6:32,ShaderLab:77,Jupyter Notebook:2060,Papyrus:4,ApacheConf:34,LOLCODE:1,Vala:16,Ada:5,Cuda:21,M4:22,Meson:6,Makefile:437,BitBake:37,Harbour:2,MoonScript:6,LLVM:10,Elixir:286,Rich Text Format:14,Pony:2,Roff:37,Shell:4239,Jsonnet:8,Lex:3,Vue:418,Dhall:2,Perl:445,MATLAB:481,CSS:4248,GAMS:2,Diff:5,LilyPond:4,DIGITAL Command Language:6,PureScript:150,WebAssembly:5,Verilog:34,API Blueprint:2,SQLPL:8,Lasso:1,AGS Script:4,DTrace:2,HTML:8671,Boo:1,Rascal:1,ASP:99,Awk:8,Scilab:3,RAML:4,CoffeeScript:522,Pascal:56,Puppet:101,Web Ontology Language:2,POV-Ray SDL:1,AMPL:4,DM:6,Batchfile:47,Component Pascal:3
FJ	FJI	fiji	51	4457	:16,Dart:2,MATLAB:4,CSS:18,Go:2,Python:88,JavaScript:51,Jupyter Notebook:2,Dockerfile:6,Makefile:2,C:20,C#:6,Shell:16,HTML:38,TypeScript:16,Kotlin:2,C++:30,Ruby:20,Java:16,PHP:57
FK	FLK	falkland islands	283	13991	:40,Clojure:2,Vim script:1,OCaml:1,Perl 6:2,ShaderLab:2,Objective-C:12,Jupyter Notebook:21,C#:116,Jsonnet:2,C++:66,Go:24,Python:172,Pascal:2,Scala:10,Elixir:2,Rich Text Format:1,Ruby:123,R:6,Shell:45,PLpgSQL:2,HTML:193,VHDL:2,XSLT:2,Vue:18,Groovy:1,Perl:3,Dockerfile:4,MATLAB:3,CSS:107,TeX:4,JavaScript:458,HCL:2,Lua:56,C:94,Fortran:4,SQLPL:4,Processing:3,Visual Basic:8,Java:365,Dart:9,PowerShell:6,OpenSCAD:1,TSQL:2,PHP:176,CoffeeScript:6,Smalltalk:2,Swift:44,PLSQL:1,Slice:1,TypeScript:208,Arduino:3,Kotlin:61,Batchfile:2
FM	FSM	micronesia	457	37431	:35,Rust:2,Vim script:18,Rebol:2,PHP:347,Objective-C:21,Jupyter Notebook:56,Standard ML:2,M4:2,C#:171,GDScript:2,Perl:4,C++:116,Go:61,Makefile:5,Python:368,Pascal:2,Racket:2,Elixir:28,CMake:4,Ruby:201,R:34,Shell:82,PLpgSQL:6,Java:492,Elm:4,ActionScript:2,XSLT:4,GCC Machine Description:2,Vue:38,Groovy:15,PureBasic:2,MATLAB:26,CSS:282,TeX:10,Clojure:2,JavaScript:1061,Lua:2,Mathematica:6,ShaderLab:2,C:85,Emacs Lisp:8,API Blueprint:2,OCaml:2,Processing:1,Haskell:13,VHDL:2,Visual Basic:2,HTML:496,Assembly:8,Dart:19,Julia:4,PowerShell:4,OpenSCAD:2,Game Maker Language:2,TSQL:2,ASP:2,Scilab:2,CoffeeScript:13,Dockerfile:12,Swift:68,PLSQL:4,TypeScript:129,Arduino:4,Kotlin:32,Batchfile:1,BitBake:10
FO	FRO	faroe islands	146	10956	:13,Elixir:2,Vim script:4,Nim:6,Objective-C:3,Xtend:2,Jupyter Notebook:8,C#:104,Scala:64,C++:54,Go:27,Makefile:3,Python:67,Hack:4,Racket:1,Clojure:4,Ruby:84,R:4,Shell:48,PLpgSQL:2,HTML:71,Eagle:1,Erlang:7,M4:2,Tcl:1,Groovy:2,PHP:86,Bro:2,MATLAB:5,CSS:52,TeX:8,JavaScript:210,HCL:8,Lua:79,C:74,Arduino:10,OCaml:1,OpenSCAD:3,Visual Basic:3,Java:96,Assembly:3,Julia:2,PowerShell:8,Smarty:4,Vue:3,Rust:38,CoffeeScript:6,Dockerfile:14,Swift:3,TypeScript:23,SQL:2,Kotlin:8,DM:18,Puppet:2,ASP:4
FR	FRA	france	56310	8310565	:4406,Vim script:2964,Haxe:593,ABAP:29,C#:16908,LiveScript:35,Bison:2,SAS:35,MQL4:5,Stan:5,Crystal:349,COBOL:33,XML:34,Mako:8,GDScript:381,BlitzBasic:14,Scala:4060,LabVIEW:24,Go:15771,OpenSCAD:223,KiCad Layout:78,Hack:128,QMake:32,PLpgSQL:264,D:377,nesC:17,Nginx:179,CartoCSS:26,ObjectScript:1,PureBasic:60,Graphviz (DOT):13,Web Ontology Language:44,Thrift:7,AutoHotkey:70,xBase:6,GDB:8,Ceylon:2,Lua:3603,Forth:55,Hy:6,Liquid:32,Fortran:411,ECL:2,Handlebars:17,VCL:36,Eagle:178,XProc:4,Squirrel:4,Visual Basic:471,SQL:1,Java:55508,Dart:1510,NCL:3,PowerShell:1785,Eiffel:23,Turing:7,Alloy:2,LLVM:19,OpenEdge ABL:60,Opa:12,Swift:6528,Jasmin:1,AutoIt:62,G-code:4,Brainfuck:12,Kotlin:2986,Mask:6,Gosu:6,V:6,IDL:38,MQL5:21,XQuery:18,Objective-C:4820,Xtend:27,Ballerina:2,F*:6,Scheme:181,Inno Setup:21,Standard ML:39,Rebol:10,Agda:25,Org:2,Pawn:15,Logtalk:2,GCC Machine Description:36,UnrealScript:14,Idris:19,Python:66605,Racket:147,Ruby:20046,R:3975,Nemerle:2,ooc:8,Inform 7:4,ActionScript:357,Gherkin:52,SRecode Template:1,RobotFramework:6,PHP:55226,Pure Data:37,Apex:70,ANTLR:38,Julia:662,Prolog:204,SystemVerilog:35,M:13,HCL:808,Objective-C++:87,Objective-J:20,C:29528,Emacs Lisp:1615,Frege:3,Modelica:24,MAXScript:10,Haskell:1630,DCPU-16 ASM:2,Protocol Buffer:21,Groff:43,Assembly:996,AngelScript:12,Red:34,Pan:12,Game Maker Language:48,sed:6,TSQL:156,ChucK:1,Max:99,JSON:1,Dockerfile:3298,Factor:12,P4:2,GAP:32,PLSQL:92,TypeScript:17288,Logos:73,Verilog:125,IGOR Pro:4,Modula-3:2,SuperCollider:28,PostScript:101,Puppet:410,Papyrus:1,Monkey:6,PigLatin:4,YARA:12,Clojure:969,Common Workflow Language:4,OCaml:1946,NSIS:60,Common Lisp:317,LSL:2,ColdFusion:12,Mercury:16,mcfunction:9,Cap&#39;n Proto:2,Gnuplot:32,LFE:2,Csound Document:4,Limbo:3,C++:31420,PicoLisp:2,Augeas:2,NetLinx:4,SQF:145,NetLogo:43,TLA:15,Grammatical Framework:2,CMake:843,Smali:8,AppleScript:42,Dhall:4,XSLT:465,FreeMarker:47,Ren&#39;Py:22,Coq:306,Erlang:534,QML:301,Tcl:115,Terra:2,Groovy:1113,EmberScript:4,Nim:51,Nextflow:27,Smarty:596,TeX:3561,JavaScript:125686,Elm:556,Mathematica:139,Nix:318,Lean:10,Zig:16,Processing:540,DIGITAL Command Language:39,HLSL:31,Propeller Spin:2,GLSL:194,F#:539,Self:1,Pike:2,Nit:6,SMT:13,Smalltalk:476,Io:2,Rust:4897,SourcePawn:72,Yacc:30,REALbasic:1,Cirru:4,ASP:225,YAML:42,SaltStack:234,Modula-2:6,JSONiq:5,Bro:2,Perl 6:78,ShaderLab:129,Jupyter Notebook:9087,Stata:14,ApacheConf:241,Ada:211,Gettext Catalog:2,Jolie:2,Vala:188,Cuda:105,M4:60,Meson:9,Makefile:2826,Solidity:16,Isabelle:10,MoonScript:8,RPC:28,Elixir:1169,Rich Text Format:62,1C Enterprise:1,E:4,Roff:151,Shell:25568,YASnippet:10,Jsonnet:22,Lex:16,Golo:4,Vue:3393,Clean:7,Perl:2361,GAML:1,MATLAB:1669,CSS:21081,GAMS:10,Xojo:13,Diff:3,LilyPond:47,ATS:6,PureScript:110,WebAssembly:46,Arduino:964,API Blueprint:25,SQLPL:63,Lasso:42,AGS Script:41,VHDL:251,DTrace:4,HTML:35500,Component Pascal:8,Boo:2,Uno:16,Rascal:7,Awk:49,Scilab:63,RAML:23,CoffeeScript:1780,Pascal:576,CLIPS:1,Pony:23,Parrot:10,WebIDL:2,AspectJ:8,Slice:2,POV-Ray SDL:18,AMPL:75,DM:8,Batchfile:488,BitBake:100
