Code1 	 Code2 	 Name 	 #Developers 	 #Commits 	 #Languages
AR	ARG	argentina	17397	1573397	:1391,Vim script:753,Haxe:87,BitBake:4,C#:6438,LiveScript:4,Handlebars:4,Crystal:165,COBOL:10,XML:14,GDScript:103,Oxygene:2,HLSL:8,Scala:682,Go:2392,OpenSCAD:46,Max:12,Hack:45,Clojure:190,PLpgSQL:126,DataWeave:4,D:24,Nginx:34,CartoCSS:2,PureBasic:9,Graphviz (DOT):6,XS:2,AutoHotkey:37,xBase:16,Brainfuck:4,NewLisp:2,Lua:335,Liquid:10,Fortran:76,VCL:2,Eagle:63,Visual Basic:366,SQL:2,Java:18352,Dart:555,Forth:6,PowerShell:404,Eiffel:50,Alloy:6,OpenEdge ABL:9,Swift:1515,AutoIt:8,G-code:2,Kotlin:721,Mirah:2,IDL:14,MQL5:6,Pure Data:20,XQuery:5,Objective-C:1460,Xtend:79,MATLAB:408,Scheme:57,Scilab:21,Standard ML:23,Gosu:4,Pawn:8,GCC Machine Description:26,BlitzMax:8,Idris:2,Python:16419,Racket:16,Ruby:6679,R:1110,VHDL:86,ActionScript:114,Gherkin:13,RobotFramework:6,PHP:11667,Csound:2,Apex:14,ANTLR:4,Julia:93,Prolog:126,SystemVerilog:5,M:5,HCL:192,Objective-C++:6,Objective-J:12,C:5509,Emacs Lisp:215,MAXScript:8,Haskell:599,Protocol Buffer:2,Groff:7,Assembly:282,AngelScript:2,Game Maker Language:6,sed:4,TSQL:152,KiCad Layout:51,Dockerfile:549,GAP:10,PLSQL:45,TypeScript:6277,Logos:15,Verilog:45,Modula-3:2,SuperCollider:60,PostScript:23,CLIPS:6,Brightscript:2,Monkey:8,ABAP:13,QMake:7,SQLPL:51,NSIS:8,Common Lisp:134,LSL:1,ColdFusion:8,Mercury:2,Cap&#39;n Proto:2,Gnuplot:5,Zephir:2,Oz:6,C++:5092,SQF:44,TLA:2,CMake:100,Smali:2,AppleScript:4,XSLT:74,FreeMarker:8,Coq:5,Erlang:193,QML:20,Tcl:19,Groovy:377,Nim:76,Smarty:71,TeX:1069,JavaScript:46126,Elm:75,Mathematica:73,Nix:13,Lean:2,Processing:229,DIGITAL Command Language:22,BlitzBasic:2,Propeller Spin:2,GLSL:26,F#:35,Wollok:34,Papyrus:16,Smalltalk:351,Io:2,SourcePawn:52,Yacc:35,ASP:90,SaltStack:5,Agda:12,Perl 6:22,ShaderLab:20,Jupyter Notebook:2817,Stata:2,ApacheConf:98,Ada:11,FLUX:2,Vala:41,Cuda:25,M4:4,Makefile:484,Solidity:32,Isabelle:2,RPC:4,Elixir:297,Rich Text Format:17,Roff:38,Shell:4215,Jsonnet:2,Lex:11,Vue:1001,Perl:341,F*:1,CSS:7747,GAMS:2,LilyPond:8,SAS:6,PureScript:6,WebAssembly:10,Arduino:327,API Blueprint:9,OCaml:69,AGS Script:16,HTML:13621,Rascal:12,J:2,Awk:4,Rust:566,RAML:20,CoffeeScript:410,Pascal:140,Puppet:56,Web Ontology Language:3,POV-Ray SDL:10,AMPL:24,DM:8,Batchfile:125,Component Pascal:1
AS	ASM	american samoa	7	935	Go:2,C:2,Shell:2,Lua:4,Java:8,TypeScript:2,Python:2,JavaScript:4,C++:2,HTML:2,PHP:6
AT	AUT	austria	9905	1377674	:976,Vim script:509,Haxe:22,C#:5569,LiveScript:2,Handlebars:2,Stan:6,Crystal:26,COBOL:8,XML:6,GDScript:31,Scala:555,SRecode Template:2,Go:2131,OpenSCAD:39,KiCad Layout:16,Hack:6,Clojure:331,PLpgSQL:52,Elm:70,Nginx:18,CartoCSS:4,REALbasic:2,AutoHotkey:13,Brainfuck:12,Ceylon:6,Lua:477,Liquid:5,Fortran:39,Limbo:2,Eagle:108,XProc:4,Squirrel:4,wdl:2,Visual Basic:63,Coq:2,Java:10972,Dart:445,Forth:36,PowerShell:435,OpenEdge ABL:11,Swift:1332,AutoIt:3,G-code:2,Kotlin:660,IDL:12,MQL5:2,XQuery:12,Objective-C:1282,Xtend:24,F*:4,Scheme:27,Inno Setup:2,Standard ML:8,Gosu:2,Pawn:4,GCC Machine Description:8,BlitzMax:4,Idris:22,Python:11013,Racket:4,Verilog:25,Ruby:3411,R:919,M:1,ActionScript:52,Gherkin:7,PHP:6834,Pure Data:2,Apex:52,Julia:331,Prolog:20,SystemVerilog:9,VHDL:67,HCL:113,Objective-C++:14,Objective-J:6,C:4357,Emacs Lisp:165,Modelica:28,MAXScript:1,Haskell:554,Groff:4,Assembly:115,FreeMarker:2,Game Maker Language:4,TSQL:21,Max:8,Dockerfile:528,GAP:4,PLSQL:25,TypeScript:3193,Logos:7,SQL:2,SuperCollider:5,PostScript:18,Puppet:115,ABAP:6,Ragel:2,NSIS:4,Common Lisp:38,LSL:6,Gnuplot:6,C++:5775,Augeas:1,SQF:10,NetLogo:10,TLA:1,Grammatical Framework:8,CMake:120,Smali:2,AppleScript:12,XSLT:116,Dhall:2,OCaml:146,Terra:2,Erlang:104,QML:41,Tcl:19,Groovy:243,Nim:20,Nextflow:6,Smarty:61,TeX:744,JavaScript:19395,D:98,Mathematica:23,Nix:79,Processing:82,DIGITAL Command Language:9,HLSL:3,Gettext Catalog:2,Markdown:2,GLSL:31,F#:136,Smalltalk:8,Io:4,SourcePawn:16,Yacc:8,ASP:30,LabVIEW:6,SaltStack:86,Agda:2,JSONiq:2,E:2,Perl 6:22,ShaderLab:21,Jupyter Notebook:1269,eC:6,Stata:5,ApacheConf:26,Vala:25,Cuda:26,M4:1,Makefile:422,q:2,RPC:3,Elixir:308,Rich Text Format:6,Roff:24,Shell:4190,Lex:4,Vue:416,Perl:696,MATLAB:312,CSS:3146,GAMS:3,LilyPond:2,SAS:10,PureScript:51,WebAssembly:6,Arduino:174,API Blueprint:2,SQLPL:9,AGS Script:4,HTML:5709,AMPL:2,DTrace:2,Rust:1061,RAML:3,CoffeeScript:323,Pascal:131,Batchfile:97,Web Ontology Language:13,BitBake:10,DM:10,LLVM:10,Component Pascal:4
AU	AUS	australia	42953	5192844	:3897,Vim script:2570,Haxe:129,PigLatin:1,LiveScript:8,CSON:20,MQL4:3,Stan:10,Crystal:198,COBOL:9,XML:13,Mako:7,Slash:1,GDScript:139,HLSL:32,Scala:2915,Ballerina:12,Go:13522,LookML:2,KiCad Layout:83,Logos:70,QMake:12,SQL:1,PLpgSQL:184,DataWeave:2,Elm:485,nesC:11,Nginx:111,CartoCSS:10,REALbasic:8,XS:2,Thrift:5,AutoHotkey:174,xBase:5,Brainfuck:6,NewLisp:4,Inform 7:2,Lua:1749,Liquid:111,Fortran:198,Handlebars:6,VCL:8,Eagle:131,XProc:10,Squirrel:62,wdl:16,Visual Basic:691,Coq:37,Java:30084,Dart:1024,Forth:26,PowerShell:3677,Eiffel:2,Alloy:6,LLVM:18,OpenEdge ABL:39,Opa:2,Swift:6516,Jasmin:2,AutoIt:40,G-code:9,Isabelle:27,RenderScript:2,IDL:34,MQL5:14,XQuery:7,Objective-C:5464,Smarty:353,Scheme:135,Scilab:12,Standard ML:39,Rebol:24,Gosu:29,Zeek:1,Pawn:8,GCC Machine Description:32,BlitzMax:8,Idris:19,Python:54931,Racket:88,Ruby:25296,R:6938,SystemVerilog:8,Nemerle:2,VHDL:96,ActionScript:234,Gherkin:48,SRecode Template:2,RobotFramework:4,PHP:23879,GDB:3,Pure Data:6,Apex:147,ANTLR:11,Julia:722,Prolog:189,XC:2,M:19,HCL:853,Objective-C++:68,Objective-J:9,C:14886,Emacs Lisp:1049,PureScript:170,MAXScript:11,Haskell:3341,Protocol Buffer:40,Groff:51,Assembly:581,AngelScript:12,ZIL:6,Kotlin:1929,Game Maker Language:53,TSQL:113,Chapel:6,Max:23,Dockerfile:1956,Factor:1,GAP:7,Oz:2,PLSQL:174,OpenSCAD:195,TypeScript:14149,Hack:86,Arduino:1031,ZenScript:3,SuperCollider:7,PostScript:77,Puppet:677,Papyrus:4,Monkey:2,ABAP:18,YARA:2,Clojure:1639,Common Workflow Language:17,OCaml:375,NSIS:37,Ring:4,Common Lisp:233,LSL:4,ColdFusion:206,Mercury:43,mcfunction:6,Cap&#39;n Proto:2,Gnuplot:12,Modula-2:3,Limbo:2,C++:18149,Augeas:2,NetLinx:14,SQF:79,NetLogo:10,TLA:4,Grammatical Framework:2,CMake:313,Smali:7,AppleScript:66,XSLT:281,FreeMarker:12,Ren&#39;Py:15,Terra:4,Erlang:283,QML:52,Tcl:74,CWeb:2,Groovy:1081,EmberScript:2,Nim:117,Nextflow:39,Xtend:6,Clarion:24,JavaScript:109109,D:267,Mathematica:101,Red:2,Nix:271,Lean:32,Zig:6,Processing:438,DIGITAL Command Language:40,BlitzBasic:9,Inno Setup:8,Propeller Spin:8,Markdown:2,GLSL:78,F#:454,Self:1,Rascal:4,IGOR Pro:2,Pike:12,SMT:8,Smalltalk:39,Io:3,Boo:2,SourcePawn:81,Yacc:28,X10:4,PureBasic:12,C#:27340,LabVIEW:12,SaltStack:176,Agda:33,Frege:4,Perl 6:70,ShaderLab:104,Jupyter Notebook:8272,eC:2,Stata:14,ApacheConf:165,Vala:109,Ada:79,Cuda:88,TeX:2163,Meson:8,Makefile:1518,Solidity:44,MoonScript:8,q:2,RPC:8,Elixir:1985,Rich Text Format:56,Roff:117,Shell:17046,YASnippet:7,Jsonnet:38,Lex:2,PogoScript:4,M4:31,Vue:1740,Clean:2,Perl:2158,MATLAB:1613,CSS:18235,Diff:2,Fantom:2,LilyPond:15,SAS:23,Modelica:31,WebAssembly:20,Verilog:147,API Blueprint:14,SQLPL:68,Lasso:15,AGS Script:32,HTML:30482,Component Pascal:15,DTrace:2,ASP:241,Awk:23,Rust:4027,RAML:23,CoffeeScript:1542,Pascal:338,FLUX:2,Web Ontology Language:9,Parrot:8,AspectJ:5,Brightscript:7,POV-Ray SDL:8,AMPL:11,DM:49,Batchfile:429,BitBake:26
AW	ABW	aruba	22	415	:6,OpenEdge ABL:2,CSS:4,xBase:2,Rascal:2,C#:2,JavaScript:12,R:10,Ruby:1,C:7,Python:2,Java:2,Haskell:1,DIGITAL Command Language:2,C++:5,ASP:2,HTML:13,PHP:14
AX	ALA	åland islands	17	2404	:2,CSS:12,JavaScript:115,Objective-C:2,PHP:7,C:12,Emacs Lisp:2,C#:1,Java:17,C++:5,PowerShell:2,Python:17,Elixir:2,Ruby:15,Swift:1,Shell:24,HTML:21,TypeScript:19,Arduino:6,QML:1,Vue:6,Perl:1
AZ	AZE	azerbaijan	831	90042	:103,ABAP:1,Vim script:16,Groff:1,ShaderLab:2,Objective-C:43,Smarty:2,Jupyter Notebook:87,C#:749,XML:1,Eagle:1,Vala:16,Scala:14,C++:229,Go:44,Roff:2,Makefile:6,Swift:232,Oz:4,Clojure:1,CMake:3,Ruby:106,R:6,Shell:107,XSLT:8,Java:1175,ApacheConf:2,PLpgSQL:4,QML:32,Vue:37,Groovy:1,PHP:702,GLSL:3,MATLAB:10,CSS:533,TeX:1,JavaScript:1677,HCL:1,Lua:7,Arduino:2,PureScript:2,WebAssembly:2,C:162,Emacs Lisp:2,SQLPL:2,Processing:6,Haskell:14,HLSL:1,Visual Basic:1,HTML:889,Assembly:2,Dart:29,PowerShell:59,TSQL:2,Liquid:2,Tcl:2,CoffeeScript:3,Dockerfile:14,Python:603,PLSQL:5,TypeScript:243,Verilog:3,Kotlin:56,PostScript:2,ASP:3
BA	BIH	bosnia and herzegovina	10290	761642	:746,Vim script:385,Haxe:13,Rich Text Format:9,MQL4:2,Crystal:20,COBOL:8,XML:11,GDScript:44,Oxygene:2,Scala:275,Go:1236,KiCad Layout:8,Hack:64,QMake:2,PLpgSQL:54,D:7,nesC:3,Pike:1,PureBasic:3,AutoHotkey:14,xBase:55,Brainfuck:2,NewLisp:3,Lua:336,Liquid:2,Fortran:28,VCL:6,Eagle:6,Visual Basic:112,Java:16498,Dart:610,PowerShell:211,Game Maker Language:8,Alloy:6,OpenEdge ABL:7,Swift:914,AutoIt:3,Kotlin:922,MQL5:4,Objective-C:601,Smarty:22,Lean:2,Scilab:10,Standard ML:9,Rebol:3,Gosu:9,Pawn:14,GCC Machine Description:7,Python:9707,Racket:17,Ruby:3707,R:720,M:2,ActionScript:34,Gherkin:4,RobotFramework:2,PHP:8589,Pure Data:6,Apex:5,ANTLR:3,Julia:88,Prolog:33,SystemVerilog:23,VHDL:77,HCL:80,Objective-C++:2,C:3146,Emacs Lisp:92,MAXScript:2,Haskell:192,Groff:6,Assembly:221,AngelScript:4,OpenSCAD:1,Logos:5,TSQL:101,Dockerfile:410,GAP:2,PLSQL:43,TypeScript:4108,ApacheConf:21,Verilog:39,SuperCollider:2,PostScript:8,Puppet:46,ABAP:2,Clojure:197,OCaml:22,NSIS:5,Common Lisp:11,ColdFusion:6,V:2,Oz:2,C++:3673,SQF:2,NetLogo:4,Bluespec:4,CMake:40,Smali:1,AppleScript:6,XSLT:21,FreeMarker:4,Ren&#39;Py:4,Coq:6,Erlang:41,QML:14,Tcl:18,Groovy:133,TeX:569,JavaScript:25050,Elm:44,Mathematica:4,Scheme:15,Zig:2,Processing:47,DIGITAL Command Language:19,Cool:2,GLSL:6,F#:13,Nginx:9,Smalltalk:2,SourcePawn:20,Yacc:14,C#:5195,SaltStack:2,ShaderLab:11,Jupyter Notebook:1927,Stata:5,ASP:71,Vala:30,Gettext Catalog:2,Ada:8,Cuda:10,Makefile:230,Solidity:2,Harbour:2,MoonScript:14,LLVM:2,Elixir:314,LiveScript:4,Roff:22,Shell:2660,YASnippet:4,Jsonnet:5,Vue:660,Perl:103,MATLAB:234,CSS:4255,LilyPond:2,SAS:2,PureScript:2,WebAssembly:2,Arduino:189,SQLPL:41,Lasso:2,AGS Script:4,HTML:8994,Component Pascal:9,Uno:8,Rascal:2,Awk:6,Rust:218,RAML:1,CoffeeScript:153,Pascal:404,Web Ontology Language:3,AspectJ:3,POV-Ray SDL:9,AMPL:4,Batchfile:28,BitBake:2
BB	BRB	barbados	115	21161	:12,Apex:1,CSS:62,Vim script:10,JavaScript:306,Objective-C:6,Mathematica:2,Jupyter Notebook:6,C:10,Stata:10,C#:33,SQLPL:2,Haskell:14,Java:44,C++:44,Go:5,Dart:4,Makefile:6,PowerShell:2,Python:20,Pascal:1,Racket:2,Rust:2,CoffeeScript:4,Dockerfile:4,Ruby:27,Swift:16,Shell:15,HTML:126,TypeScript:41,Vue:17,Puppet:1,PHP:106
BD	BGD	bangladesh	13849	812748	:1317,QMake:2,Vim script:136,OCaml:10,Parrot:2,Common Lisp:5,Bison:6,SAS:1,Mercury:2,RMarkdown:2,XML:6,GDScript:8,Elm:6,Scala:93,C++:7675,Go:1733,Roff:22,Protocol Buffer:3,NSIS:4,KiCad Layout:4,Hack:194,NetLogo:3,Clojure:60,CMake:16,Smali:10,SQL:1,Perl 6:2,PLpgSQL:33,HTML:18761,FreeMarker:6,XSLT:24,Erlang:12,QML:10,Tcl:30,Groovy:123,PureBasic:8,Dockerfile:174,TeX:314,Haxe:6,JavaScript:29152,Lua:91,Mathematica:8,Liquid:18,Fortran:10,VCL:2,Processing:19,DIGITAL Command Language:22,Cool:1,Visual Basic:59,Verilog:10,Java:25894,GLSL:8,Dart:992,PowerShell:235,TSQL:119,Lasso:2,AutoHotkey:4,Nginx:5,Filebench WML:1,Smalltalk:1,Swift:1897,Pawn:6,AutoIt:2,SourcePawn:4,Yacc:23,PHP:21528,Cirru:8,Game Maker Language:2,ApacheConf:14,Scilab:2,IDL:4,XQuery:2,ShaderLab:17,Objective-C:719,Smarty:33,Jupyter Notebook:3156,Scheme:10,Inno Setup:2,C#:5320,Vala:5,Ada:2,Cuda:8,GCC Machine Description:2,Makefile:253,Python:13721,Racket:2,Elixir:81,Rich Text Format:9,Ruby:1574,R:263,Shell:1627,YASnippet:2,PLSQL:94,Lex:12,ActionScript:9,Eagle:3,Vue:936,RobotFramework:2,Perl:59,Apex:18,CSS:8735,ANTLR:3,Julia:8,Prolog:43,SystemVerilog:17,M:4,HCL:38,Objective-C++:17,C:3034,Emacs Lisp:26,API Blueprint:12,SQLPL:29,RenderScript:1,AGS Script:2,Haskell:18,MATLAB:526,Groff:3,Assembly:359,Kotlin:1231,Rebol:2,Rascal:2,ASP:192,Awk:2,Rust:93,CoffeeScript:122,Pascal:25,AspectJ:4,TypeScript:3036,Logos:2,Arduino:195,PostScript:9,Batchfile:87,Component Pascal:1
